trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
44,False,"{'a': 0.1, 'e': 0.9975249999999999}",25,0,-121.54753504196691,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
45,False,"{'a': 0.1, 'e': 0.9974124999999999}",20,0,-96.22079426756449,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
46,False,"{'a': 0.1, 'e': 0.9972975}",20,0,-125.67427232320269,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
47,False,"{'a': 0.1, 'e': 0.99718}",20,0,-75.03580852490819,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
48,False,"{'a': 0.1, 'e': 0.99706}",25,0,-117.31872207853152,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
49,False,"{'a': 0.1, 'e': 0.9969374999999999}",20,2,-84.54384005659526,"{0: 12, 1: 1, 2: 2, 3: 2, 4: 1}",1
50,False,"{'a': 0.1, 'e': 0.9968124999999999}",20,0,-163.744097377001,"{0: 11, 1: 1, 2: 3, 3: 3, 4: 2}",0
51,False,"{'a': 0.1, 'e': 0.9966849999999999}",20,0,-71.12919706157945,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
52,False,"{'a': 0.1, 'e': 0.996555}",20,0,-168.15358658307136,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
53,False,"{'a': 0.1, 'e': 0.9964225}",25,0,-176.2252912352355,"{0: 12, 1: 4, 2: 5, 3: 2, 4: 2}",0
54,False,"{'a': 0.1, 'e': 0.9962875}",20,0,-158.26599320371096,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 3}",0
55,False,"{'a': 0.1, 'e': 0.99615}",20,0,-138.63403414763368,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
56,False,"{'a': 0.1, 'e': 0.99601}",20,0,-52.92171642004114,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
57,False,"{'a': 0.1, 'e': 0.9958674999999999}",25,0,-138.39288012309441,"{0: 14, 1: 1, 2: 7, 3: 2, 4: 1}",0
58,False,"{'a': 0.1, 'e': 0.9957225}",20,1,-84.6222791540807,"{0: 11, 1: 4, 2: 2, 3: 1, 4: 1}",1
59,False,"{'a': 0.1, 'e': 0.995575}",25,0,-155.85282591871945,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 2}",0
60,False,"{'a': 0.1, 'e': 0.995425}",30,0,-92.27217289073451,"{0: 17, 1: 5, 2: 7, 3: 1, 4: 0}",0
61,False,"{'a': 0.1, 'e': 0.9952725}",25,0,-107.49132245457133,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
62,False,"{'a': 0.1, 'e': 0.9951175}",20,0,-99.8569356562685,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
63,False,"{'a': 0.1, 'e': 0.99496}",30,0,-168.4335578756602,"{0: 19, 1: 0, 2: 7, 3: 2, 4: 2}",0
64,False,"{'a': 0.1, 'e': 0.9947999999999999}",20,0,-52.719113121506005,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
65,False,"{'a': 0.1, 'e': 0.9946375}",20,0,-84.47176451637723,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 0}",0
66,False,"{'a': 0.1, 'e': 0.9944725}",20,0,-82.29741143120035,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
67,False,"{'a': 0.1, 'e': 0.994305}",30,0,-172.07333578964997,"{0: 16, 1: 4, 2: 7, 3: 1, 4: 2}",0
68,False,"{'a': 0.1, 'e': 0.994135}",25,0,-66.90224342880416,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
69,False,"{'a': 0.1, 'e': 0.9939625}",25,0,-69.6146989708011,"{0: 17, 1: 2, 2: 4, 3: 2, 4: 0}",0
70,False,"{'a': 0.1, 'e': 0.9937874999999999}",35,0,-93.18862743959944,"{0: 21, 1: 4, 2: 10, 3: 0, 4: 0}",0
71,False,"{'a': 0.1, 'e': 0.9936099999999999}",20,0,-196.40123897782235,"{0: 11, 1: 1, 2: 3, 3: 1, 4: 4}",0
72,False,"{'a': 0.1, 'e': 0.9934299999999999}",20,0,-92.5840114449135,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
73,False,"{'a': 0.1, 'e': 0.9932475}",20,0,-55.02627938195647,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
74,False,"{'a': 0.1, 'e': 0.9930625}",20,0,-119.18720998656049,"{0: 9, 1: 2, 2: 6, 3: 3, 4: 0}",0
75,False,"{'a': 0.1, 'e': 0.992875}",30,0,-234.63930122602875,"{0: 17, 1: 3, 2: 4, 3: 2, 4: 4}",0
76,False,"{'a': 0.1, 'e': 0.9926849999999999}",25,0,-117.68906548280523,"{0: 15, 1: 3, 2: 4, 3: 2, 4: 1}",0
77,False,"{'a': 0.1, 'e': 0.9924924999999999}",25,0,-64.65051180729073,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
78,False,"{'a': 0.1, 'e': 0.9922974999999999}",20,0,-159.16494256082157,"{0: 9, 1: 4, 2: 3, 3: 2, 4: 2}",0
79,False,"{'a': 0.1, 'e': 0.9921}",25,0,-54.60568253023597,"{0: 18, 1: 3, 2: 2, 3: 2, 4: 0}",0
80,False,"{'a': 0.1, 'e': 0.9919}",25,0,-145.45283772257895,"{0: 15, 1: 1, 2: 4, 3: 4, 4: 1}",0
